ymd,jyo,racenum,age,joken,track,kyori,baba,tosu,tan,fuk1,fuk2,fuk3,umaren,umatan,3renpuku,3rentan,wide1,wide2,wide3,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,winrate,topodds
20250119,6,11,1,999,17,2000,1,14,4940,960,490,980,35970,77110,209730,1727970,7430,9500,5490,4,6,13,3,5,10,2,1,12,8,11,14,7,9,0,0,0,0,0.141,3.1,
20250119,6,12,1,703,18,1600,1,16,430,180,1090,220,14790,23840,32420,233250,4240,720,5730,11,12,1,6,9,4,10,7,16,13,14,5,2,3,15,8,0,0,0.392,4.1,
20250119,6,1,1,703,24,1200,1,16,190,110,760,150,7550,9840,6450,33540,1820,220,3040,1,3,14,4,15,10,9,5,8,2,7,11,16,13,6,12,0,0,0.293,1.9,
20250119,7,2,1,703,23,1800,1,13,520,180,330,250,3290,5360,7650,44360,530,640,1550,1,4,5,11,3,8,10,6,7,13,2,12,9,0,0,0,0,0,0.384,5.2,
20250119,7,3,1,703,23,1400,1,16,500,160,260,140,2970,5520,3140,23450,830,410,710,1,9,2,3,15,12,14,4,11,8,7,5,13,10,6,16,0,0,0.164,5.0,
20250119,7,4,1,703,23,1900,1,10,250,110,110,170,170,440,670,2310,110,350,410,2,1,10,8,6,4,9,3,5,7,0,0,0,0,0,0,0,0,0.449,1.6,
20250119,7,6,1,5,23,1200,1,10,940,270,620,290,10140,17480,27880,190570,3140,1150,2710,10,2,7,6,3,5,9,1,4,8,0,0,0,0,0,0,0,0,0.206,6.6,
20250119,7,7,2,5,23,1800,1,10,530,140,110,120,580,1440,810,4680,210,380,200,2,8,3,1,4,7,9,6,5,10,0,0,0,0,0,0,0,0,0.318,2.0,
20250119,7,8,2,5,23,1400,1,16,260,150,1020,580,6220,9620,37310,137420,1820,1160,11970,1,4,9,14,6,3,7,5,10,7,16,11,2,13,15,12,0,0,0.260,2.6,
20250119,7,9,2,10,11,2000,1,11,310,150,190,220,1310,1820,2260,8170,430,520,590,2,5,8,6,1,4,3,7,9,10,11,0,0,0,0,0,0,0,0.194,7.8,
20250119,7,10,2,10,23,1200,1,16,180,120,480,220,1560,2070,4530,14070,760,380,2210,10,1,4,8,16,2,5,9,7,13,6,11,15,3,14,12,0,0,0.169,12.7,
20250119,7,11,2,999,11,2200,1,16,720,280,190,350,2170,4690,9140,44500,850,1390,1170,14,1,4,13,8,6,15,16,11,2,10,9,3,5,7,12,0,0,0.239,8.2,
20250119,7,12,2,5,11,1600,1,16,1200,330,700,210,16650,31200,16150,145280,3410,680,1820,4,8,7,3,5,11,1,14,6,2,9,15,10,12,16,13,0,0,0.307,2.7,
20250119,6,2,1,703,24,1800,1,16,130,100,140,160,350,490,470,1590,180,220,410,1,2,16,11,15,14,13,7,3,12,4,10,8,9,6,5,0,0,0.362,1.3,
